
="",="(1)"
="",="price"

="mpg",="-294.2***"
="",="(66.45)"

="0.foreign",="0"
="",="(0)"

="1.foreign",="1767.3**"
="",="(547.2)"

="_cons",="11905.4***"
="",="(1504.1)"

="N",="74"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
